Test Case ID,Steps,Acceptance Criteria,Expected Results,Status,Priority
TS_008,Stories,"As a user, I want to search for products by name so that i can find exactly what i am looking for",,,
,Scenario,Searching for a valid product name,,In-Progress,Medium
,,Given that the user navigates in the product page,,,
,,"When the user type a valid product name (e.g., “Jeans“) in the search bar",,,
,,And click the “Search“ icon,,,
,,Then the user redirected to the product results page,,,
,,And the page should display all products that match “Jeans“,,,
,Scenario,Searching for a partial word,,In-Progress,Medium
,,Given that the user navigates in the product page,,,
,,"When the user type a partial word (e.g., “Jea“) in the search bar",,,
,,And click the “Search“ icon,,,
,,Then the user should redirected to the result page,,,
,,And the page should display all products that match “Jean“,,,
,Scenario,Searching for product name using ALL CAPS ,,In-Progress,Medium
,,Given that the user navigates in the product page,,,
,,"When the user type a valid product name in ALL CAPS(e.g., “JEANS“) in the search bar",,,
,,And click the “Search“ icon,,,
,,Then the user redirected to the product results page,,,
,,And the page should display all products that match “JEANS“,,,
,Scenario,User leaving the search bar empty and try to hit the “Search“ icon,,In-Progress,Medium
,,Given that the user navigates in the product page,,,
,,When the user leaves the search bar completely empty,,,
,,And click the “Search“ icon,,,
,,Then the user redirected to the results page that shows all the products,,,
TS_009,Stories,"As a user, I want to sort the product by brands and category so that i can find exactly product that i want",,,
,Scenario,Filtering product by Brand,,In-Progress,Medium
,,Given that the user navigates on the products page,,,
,,"When the user select a brand name in “Brands“ product sidebar (e.g., “Polo“)",,,
,,Then the user redirected to the page where display only products from the selected brand,,,
,Scenario,User select what category they want to find,,In-Progress,Medium
,,Given that the user navigates on the products page,,,
,,When the user click the “+“ icon in the category sidebar,,,
,,"Then the category should expand to show sub-categories (e.g., “Dress“, “Tops“)",,,
,,When the user select a category product from drop down list,,,
,,Then the user redirected to the page where display only products from the selected sub-category,,,
